,name,glass,instructions,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,ingredient_11,ingredient_12,ingredient_13,ingredient_14,ingredient_15,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measuremnt_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,image_url
0,3-Mile Long Island Iced Tea,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1/2 oz,1-2 dash ,1 wedge ,Garnish with,,,,,,,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg
1,410 Gone,Collins Glass,,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg
2,50/50,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg
3,501 Blue,Collins Glass,Mix equal amounts into a glass with ice.,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg
4,69 Special,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Gin,7-Up,Lemon juice,,,,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg
5,A Day at the Beach,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,1/2 oz ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg
6,A Furlong Too Late,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,,,2 oz ,4 oz ,1 twist of ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg
7,A midsummernight dream,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,5 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg
8,A Night In Old Mandalay,Highball glass,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,,,,1 oz ,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg
9,A. J.,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg
10,Abbey Cocktail,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/mr30ob1582479875.jpg
11,Abilene,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg
12,Absolut Stress #2,Collins Glass,Mix well. Garnish with Orange and Cherry. Enjoy,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg
13,Absolutely Cranberry Smash,Cocktail glass,Stir ingredients together. Serve over ice.,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,,,,,,2 oz ,4 oz ,2 oz ,Add ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg
14,Acapulco,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 ,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg
15,Adam,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg
16,Adam Sunrise,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg
17,Adonis Cocktail,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,,3/4 oz ,1 1/2 oz dry ,1 dash ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg
18,Affair,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg
19,Affinity,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg
20,After Dinner Cocktail,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1 ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg
21,After sex,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg
22,After Supper Cocktail,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg
23,Alabama Slammer,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg
24,Alaska Cocktail,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of ,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg
25,Alexander,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg
26,Alfie Cocktail,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg
27,Algonquin,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg
28,Alice in Wonderland,Collins Glass,Just mix the three ingredients one to one to one,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg
29,Allegheny,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of ,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
30,Allies Cocktail,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Dry Vermouth,Gin,Kummel,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg
31,Almeria,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
32,Almond Chocolate Coffee,Coffee mug,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,,,,3/4 oz ,1/2 oz ,8 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg
33,Almond Joy,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg
34,Amaretto And Cream,Cocktail glass,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",Amaretto,Light cream,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz ,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg
