Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,Ingredient 6,Ingredient 7,Ingredient 8,Ingredient 9,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9
3-Mile Long Island Iced Tea,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,0.5,0.5,0.5,0.5,0.5,0.5,0.01,,
410 Gone,Peach Vodka,Coca-Cola,,,,,,,,3,9,,,,,,,
50/50,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,2.5,0.5,9,,,,,,
501 Blue,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,,,
69 Special,Gin,7-Up,Lemon juice,,,,,,,2,4,0.75,,,,,,
A Day at the Beach,Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,1,0.5,4,0.5,,,,,
A Furlong Too Late,Light rum,Ginger beer,Lemon peel,,,,,,,2,4,,,,,,,
A midsummernight dream,Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,2,1,0.1,5,,,,,
A Night In Old Mandalay,Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,1,1,1,0.5,3,,,,
A. J.,Applejack,Grapefruit juice,,,,,,,,1.5,1,,,,,,,
Abbey Cocktail,Gin,Orange bitters,Orange,Cherry,,,,,,1.5,0.01,Juice of 1/4 ,1,,,,,
Abilene,Dark rum,Peach nectar,Orange juice,,,,,,,1.5,2,3,,,,,,
Absolut Stress #2,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,1.5,0.5,0.5,1.5,1.5,,,,
Absolutely Cranberry Smash,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,2,4,2,,,,,,
Acapulco,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,1.5,1.5,0.3,0.1,1,,,,
Adam,Dark rum,Lemon juice,Grenadine,,,,,,,2,1,0.1,,,,,,
Adam Sunrise,Vodka,Lemonade,Water,Sugar,,,,,,2-Jan,1/2 can ,2-Jan,10 tsp ,,,,,
Adonis Cocktail,Sweet Vermouth,Sherry,Orange bitters,,,,,,,0.75,1.5,0.01,,,,,,
Affair,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,2,2,2,,,,,,
Affinity,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,1.5,1,1,0.02,,,,,
After Dinner Cocktail,Apricot brandy,Triple sec,Lime,Lime,,,,,,1,1,Juice of 1 ,,,,,,
After sex,Vodka,Creme de Banane,Orange juice,,,,,,,2,1,,,,,,,
After Supper Cocktail,Triple sec,Apricot brandy,Lemon juice,,,,,,,1,1,0.005,,,,,,
Alabama Slammer,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,1,1,0.5,0.01,,,,,
Alaska Cocktail,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,0.02,1.5,0.75,,,,,,
Alexander,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,0.5,0.5,2,,,,,,
Alfie Cocktail,Lemon vodka,Triple sec,Pineapple juice,,,,,,,1.5,0.01,0.3,,,,,,
Algonquin,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,1.5,1,1,,,,,,
Alice in Wonderland,Amaretto,Grand Marnier,Southern Comfort,,,,,,,1,1,1,,,,,,
Allegheny,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,1,1,0.15,0.15,,,,,
Allies Cocktail,Dry Vermouth,Gin,Kummel,,,,,,,1,1,0.05,,,,,,
Almeria,Dark rum,Kahlua,Egg white,,,,,,,2,1,1,,,,,,
Almond Chocolate Coffee,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,0.75,0.5,8,,,,,,
Almond Joy,Amaretto,Creme de Cacao,Light cream,,,,,,,0.5,0.5,2,,,,,,
Amaretto And Cream,Amaretto,Light cream,,,,,,,,1.5,1.5,,,,,,,
Amaretto Mist,Amaretto,Lime,,,,,,,,1.5,1,,,,,,,
Amaretto Rose,Amaretto,Lime juice,Club soda,,,,,,,1.5,0.5,,,,,,,
Amaretto Shake,Chocolate ice-cream,Brandy,Amaretto,,,,,,,4,2,2,,,,,,
Amaretto Sour,Amaretto,Sour mix,,,,,,,,1.5,3,,,,,,,
Amaretto Stinger,Amaretto,White Creme de Menthe,,,,,,,,1.5,0.75,,,,,,,
Amaretto Sunrise,Amaretto,Orange juice,Grenadine,,,,,,,1 cl ,4 oz ,1/4 cl ,,,,,,
Amaretto Sunset,Triple sec,Amaretto,Cider,Ice,,,,,,1/2 jigger ,3 shots ,1/2 cup ,Add 1/2 cup ,,,,,
Amaretto Tea,Tea,Amaretto,Whipped cream,,,,,,,6,2,,,,,,,
Americano,Campari,Sweet Vermouth,Lemon peel,Orange peel,,,,,,1,1,,,,,,,
Angel Face,Apricot brandy,Apple brandy,Gin,,,,,,,0.5,0.5,1,,,,,,
Applecar,Applejack,Triple sec,Lemon juice,,,,,,,1,1,1,,,,,,
Apricot Lady,Light rum,Apricot brandy,Triple sec,Lemon juice,Egg white,Orange,,,,1.5,1,0.1,0.5,1,,,,
Archbishop,Gin,Wine,Benedictine,Lime,,,,,,2,1,0.1,,,,,,
Arise My Love,Champagne,Green Creme de Menthe,,,,,,,,Chilled ,1 tsp ,,,,,,,
Arthur Tompkins,Gin,Grand Marnier,Lemon juice,Lemon peel,,,,,,2,0.5,0.1,,,,,,
Artillery,Sweet Vermouth,Gin,Bitters,,,,,,,1.5,1.5,0.02,,,,,,
AT&T,Absolut Vodka,Gin,Tonic water,,,,,,,1,1,4,,,,,,
